Thread Type,Material,Size,Connection,QTY, Price ,"OFFSET
Factor","LONG PART >180""
Factor","LONG PART >120""
Factor",
SL Apex,Ni Alloy,6.625,Pin,1,964.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,6.625,Pin,1,2087.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,7,Pin,1,1747.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,7,Pin,1,1918.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,7,Pin,1,1520.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,7,Pin,1,875.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,7.625,Pin,1,1004.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,7.625,Pin,1,2362.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,7.625,Pin,1,1000.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,7.625,Pin,1,2237.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,2.375,Pin,2,2147.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,2.375,Pin,2,1564.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,2.375,Pin,2,1698.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,2.375,Pin,2,851.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,2.875,Pin,2,2140.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,2.875,Pin,2,1155.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,2.875,Pin,2,1444.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,2.875,Pin,2,1296.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,3.5,Pin,2,1433.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,3.5,Pin,2,1527.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,3.5,Pin,2,2120.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,3.5,Pin,2,637.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,4,Pin,2,1645.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,4,Pin,2,769.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,4,Pin,2,912.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,4,Pin,2,1922.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,4.5,Pin,2,1156.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,4.5,Pin,2,1936.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,4.5,Pin,2,1669.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,4.5,Pin,2,1003.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,5,Pin,2,745.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,5,Pin,2,2145.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,5,Pin,2,1380.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,5,Pin,2,1507.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,5.5,Pin,2,2268.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,5.5,Pin,2,888.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,5.5,Pin,2,1346.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,5.5,Pin,2,2189.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,6.625,Pin,2,811.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,6.625,Pin,2,799.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,6.625,Pin,2,2192.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,6.625,Pin,2,1130.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,7,Pin,2,2074.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,7,Pin,2,1020.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,7,Pin,2,1503.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,7,Pin,2,1520.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,7.625,Pin,2,1263.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,7.625,Pin,2,1159.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,7.625,Pin,2,1861.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,7.625,Pin,2,2266.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,2.375,Pin,5,831.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,2.375,Pin,5,2196.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,2.375,Pin,5,1783.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,2.375,Pin,5,970.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,2.875,Pin,5,2047.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,2.875,Pin,5,1586.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,2.875,Pin,5,1774.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,2.875,Pin,5,788.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,3.5,Pin,5,1155.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,3.5,Pin,5,2458.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,3.5,Pin,5,811.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,3.5,Pin,5,1807.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,4,Pin,5,1127.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,4,Pin,5,2454.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,4,Pin,5,2044.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,4,Pin,5,1569.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,4.5,Pin,5,2344.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,4.5,Pin,5,2171.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,4.5,Pin,5,1192.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,4.5,Pin,5,850.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,5,Pin,5,1222.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,5,Pin,5,2155.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,5,Pin,5,2240.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,5,Pin,5,591.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,5.5,Pin,5,1204.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,5.5,Pin,5,2398.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,5.5,Pin,5,1673.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,5.5,Pin,5,1066.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,6.625,Pin,5,1287.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,6.625,Pin,5,2029.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,6.625,Pin,5,2458.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,6.625,Pin,5,1711.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,7,Pin,5,2474.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,7,Pin,5,1941.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,7,Pin,5,751.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,7,Pin,5,2002.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,7.625,Pin,5,2399.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,7.625,Pin,5,2022.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,7.625,Pin,5,1004.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,7.625,Pin,5,1523.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,2.375,Pin,16,516.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,2.375,Pin,16,1135.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,2.375,Pin,16,1557.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,2.375,Pin,16,1535.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,2.875,Pin,16,1491.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,2.875,Pin,16,1588.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,2.875,Pin,16,2123.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,2.875,Pin,16,2360.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,3.5,Pin,16,1857.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,3.5,Pin,16,2127.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,3.5,Pin,16,1283.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,3.5,Pin,16,1009.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,4,Pin,16,931.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,4,Pin,16,519.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,4,Pin,16,1283.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,4,Pin,16,1062.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,4.5,Pin,16,1908.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,4.5,Pin,16,2059.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,4.5,Pin,16,2312.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,4.5,Pin,16,1910.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,5,Pin,16,735.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,5,Pin,16,2459.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,5,Pin,16,1156.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,5,Pin,16,2188.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,5.5,Pin,16,758.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,5.5,Pin,16,1984.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,5.5,Pin,16,2188.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,5.5,Pin,16,1158.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,6.625,Pin,16,2405.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,6.625,Pin,16,1489.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,6.625,Pin,16,2418.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,6.625,Pin,16,1600.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,7,Pin,16,518.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,7,Pin,16,832.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,7,Pin,16,1479.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,7,Pin,16,2370.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,7.625,Pin,16,1336.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,7.625,Pin,16,1931.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,7.625,Pin,16,2278.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,7.625,Pin,16,1392.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,2.375,Box,1,2098.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,2.375,Box,1,698.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,2.375,Box,1,1850.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,2.375,Box,1,1392.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,2.875,Box,1,2418.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,2.875,Box,1,2389.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,2.875,Box,1,1182.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,2.875,Box,1,1098.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,3.5,Box,1,806.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,3.5,Box,1,1534.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,3.5,Box,1,1378.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,3.5,Box,1,1927.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,4,Box,1,897.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,4,Box,1,875.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,4,Box,1,1066.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,4,Box,1,1798.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,4.5,Box,1,850.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,4.5,Box,1,539.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,4.5,Box,1,1507.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,4.5,Box,1,2049.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,5,Box,1,1685.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,5,Box,1,2436.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,5,Box,1,691.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,5,Box,1,1716.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,5.5,Box,1,2209.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,5.5,Box,1,1651.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,5.5,Box,1,1822.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,5.5,Box,1,2005.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,6.625,Box,1,1531.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,6.625,Box,1,2253.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,6.625,Box,1,1106.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,6.625,Box,1,1135.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,7,Box,1,648.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,7,Box,1,1636.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,7,Box,1,1005.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,7,Box,1,761.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,7.625,Box,1,1392.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,7.625,Box,1,974.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,7.625,Box,1,1223.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,7.625,Box,1,2281.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,2.375,Box,2,1463.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,2.375,Box,2,2209.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,2.375,Box,2,1828.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,2.375,Box,2,1976.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,2.875,Box,2,2170.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,2.875,Box,2,606.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,2.875,Box,2,635.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,2.875,Box,2,503.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,3.5,Box,2,819.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,3.5,Box,2,1412.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,3.5,Box,2,678.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,3.5,Box,2,1530.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,4,Box,2,1974.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,4,Box,2,1656.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,4,Box,2,1417.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,4,Box,2,1802.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,4.5,Box,2,1312.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,4.5,Box,2,2014.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,4.5,Box,2,1142.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,4.5,Box,2,1949.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,5,Box,2,903.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,5,Box,2,1613.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,5,Box,2,2269.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,5,Box,2,1669.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,5.5,Box,2,2428.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,5.5,Box,2,1063.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,5.5,Box,2,1062.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,5.5,Box,2,649.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,6.625,Box,2,1659.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,6.625,Box,2,2295.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,6.625,Box,2,1592.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,6.625,Box,2,1824.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,7,Box,2,885.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,7,Box,2,562.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,7,Box,2,1260.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,7,Box,2,1969.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,7.625,Box,2,1983.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,7.625,Box,2,2170.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,7.625,Box,2,2049.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,7.625,Box,2,1002.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,2.375,Box,5,1327.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,2.375,Box,5,2182.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,2.375,Box,5,2227.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,2.375,Box,5,2319.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,2.875,Box,5,842.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,2.875,Box,5,1257.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,2.875,Box,5,2190.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,2.875,Box,5,1082.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,3.5,Box,5,663.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,3.5,Box,5,2096.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,3.5,Box,5,1146.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,3.5,Box,5,1650.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,4,Box,5,1553.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,4,Box,5,1201.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,4,Box,5,2024.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,4,Box,5,2380.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,4.5,Box,5,1902.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,4.5,Box,5,1632.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,4.5,Box,5,1407.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,4.5,Box,5,668.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,5,Box,5,730.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,5,Box,5,1340.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,5,Box,5,597.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,5,Box,5,1982.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,5.5,Box,5,1921.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,5.5,Box,5,553.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,5.5,Box,5,2102.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,5.5,Box,5,549.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,6.625,Box,5,992.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,6.625,Box,5,2050.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,6.625,Box,5,2366.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,6.625,Box,5,1054.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,7,Box,5,769.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,7,Box,5,1271.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,7,Box,5,2094.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,7,Box,5,1360.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,7.625,Box,5,1519.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,7.625,Box,5,716.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,7.625,Box,5,2252.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,7.625,Box,5,590.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,2.375,Box,16,1187.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,2.375,Box,16,1541.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,2.375,Box,16,1536.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,2.375,Box,16,1555.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,2.875,Box,16,1896.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,2.875,Box,16,2095.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,2.875,Box,16,1201.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,2.875,Box,16,1857.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,3.5,Box,16,826.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,3.5,Box,16,620.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,3.5,Box,16,1855.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,3.5,Box,16,2217.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,4,Box,16,736.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,4,Box,16,974.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,4,Box,16,590.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,4,Box,16,651.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,4.5,Box,16,2325.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,4.5,Box,16,2214.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,4.5,Box,16,678.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,4.5,Box,16,602.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,5,Box,16,2265.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,5,Box,16,657.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,5,Box,16,854.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,5,Box,16,1622.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,5.5,Box,16,2298.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,5.5,Box,16,1436.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,5.5,Box,16,1495.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,5.5,Box,16,1660.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,6.625,Box,16,1003.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,6.625,Box,16,1964.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,6.625,Box,16,1822.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,6.625,Box,16,1623.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,7,Box,16,1710.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,7,Box,16,1354.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,7,Box,16,521.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,7,Box,16,1356.00,1.35,1.15,1.1,
SL Apex,22CR or Greater / Stainless Steel,7.625,Box,16,1549.00,1.35,1.15,1.1,
SL Apex,Low Alloy Steel,7.625,Box,16,1156.00,1.35,1.15,1.1,
SL Apex,Ni Alloy,7.625,Box,16,1868.00,1.35,1.15,1.1,
SL Apex,S13CR or Less,7.625,Box,16,1589.00,1.35,1.15,1.1,
SLHC,22CR or Greater / Stainless Steel,2.375,Pin,1,977.00,1.35,1.15,1.1,
